Epoch, Train Loss, Val Loss, Time per Epoch (s)
1, 192273248.0000, 1331018496.0000, 9.37
2, 192265568.0000, 1330990208.0000, 9.37
3, 192256576.0000, 1330972416.0000, 9.37
4, 192246816.0000, 1330929024.0000, 9.37
5, 192233584.0000, 1330911232.0000, 9.37
6, 192221184.0000, 1330876032.0000, 9.37
7, 192213696.0000, 1330856960.0000, 9.37
8, 192206720.0000, 1330839040.0000, 9.37
9, 192200064.0000, 1330821376.0000, 9.37
10, 192193600.0000, 1330803968.0000, 9.37
11, 192187168.0000, 1330786688.0000, 9.37
12, 192180768.0000, 1330769920.0000, 9.37
13, 192174512.0000, 1330752896.0000, 9.37
14, 192168224.0000, 1330736256.0000, 9.37
15, 192161504.0000, 1330712192.0000, 9.37
16, 192153056.0000, 1330695040.0000, 9.37
17, 192146640.0000, 1330678016.0000, 9.37
18, 192140224.0000, 1330661120.0000, 9.37
19, 192133920.0000, 1330644352.0000, 9.37
20, 192127584.0000, 1330626688.0000, 9.37
21, 192121280.0000, 1330609792.0000, 9.37
22, 192114992.0000, 1330593280.0000, 9.38
23, 192108752.0000, 1330576384.0000, 9.38
24, 192102416.0000, 1330559488.0000, 9.38
25, 192096160.0000, 1330542720.0000, 9.38
26, 192089920.0000, 1330526080.0000, 9.38
27, 192083744.0000, 1330509056.0000, 9.38
28, 192077568.0000, 1330492544.0000, 9.38
29, 192071344.0000, 1330476288.0000, 9.38
30, 192065184.0000, 1330459264.0000, 9.38
31, 192058960.0000, 1330443136.0000, 9.38
32, 192052912.0000, 1330426496.0000, 9.38
33, 192046720.0000, 1330409728.0000, 9.38
34, 192040560.0000, 1330393216.0000, 9.38
35, 192034368.0000, 1330377088.0000, 9.38
36, 192028256.0000, 1330360576.0000, 9.38
37, 192022128.0000, 1330343680.0000, 9.38
38, 192014288.0000, 1330316032.0000, 9.38
39, 192004560.0000, 1330293888.0000, 9.38
40, 191996576.0000, 1330272384.0000, 9.38
41, 191988800.0000, 1330252160.0000, 9.38
42, 191981296.0000, 1330232704.0000, 9.38
43, 191974048.0000, 1330213120.0000, 9.38
44, 191966832.0000, 1330193408.0000, 9.38
45, 191959504.0000, 1330173056.0000, 9.38
46, 191951200.0000, 1330149248.0000, 9.38
47, 191942640.0000, 1330127488.0000, 9.38
48, 191934480.0000, 1330105728.0000, 9.38
49, 191926512.0000, 1330084480.0000, 9.38
50, 191918656.0000, 1330063360.0000, 9.38
51, 191910896.0000, 1330042496.0000, 9.38
52, 191903120.0000, 1330022016.0000, 9.38
53, 191895536.0000, 1330001920.0000, 9.38
54, 191888112.0000, 1329981568.0000, 9.38
55, 191880624.0000, 1329961600.0000, 9.38
56, 191873200.0000, 1329941760.0000, 9.38
57, 191865776.0000, 1329922176.0000, 9.38
58, 191858528.0000, 1329902208.0000, 9.38
59, 191851168.0000, 1329882752.0000, 9.38
60, 191843872.0000, 1329863040.0000, 9.38
61, 191836624.0000, 1329843456.0000, 9.38
62, 191829328.0000, 1329823872.0000, 9.38
63, 191822048.0000, 1329804544.0000, 9.38
64, 191814800.0000, 1329784960.0000, 9.38
65, 191807552.0000, 1329765632.0000, 9.38
66, 191800416.0000, 1329746432.0000, 9.38
67, 191793360.0000, 1329726848.0000, 9.38
68, 191786064.0000, 1329708160.0000, 9.38
69, 191779008.0000, 1329689216.0000, 9.38
70, 191771936.0000, 1329669760.0000, 9.38
71, 191764752.0000, 1329650432.0000, 9.38
72, 191757616.0000, 1329631360.0000, 9.38
73, 191750448.0000, 1329612288.0000, 9.38
74, 191743456.0000, 1329593216.0000, 9.39
75, 191736384.0000, 1329574144.0000, 9.39
76, 191729312.0000, 1329555328.0000, 9.39
77, 191722288.0000, 1329536128.0000, 9.39
78, 191715168.0000, 1329517440.0000, 9.39
79, 191708112.0000, 1329498624.0000, 9.39
80, 191701104.0000, 1329479552.0000, 9.39
81, 191694000.0000, 1329460480.0000, 9.39
82, 191686992.0000, 1329441280.0000, 9.39
83, 191679984.0000, 1329422592.0000, 9.39
84, 191672976.0000, 1329403904.0000, 9.39
85, 191665952.0000, 1329385344.0000, 9.39
86, 191659008.0000, 1329366144.0000, 9.39
87, 191651920.0000, 1329347456.0000, 9.39
88, 191644912.0000, 1329328512.0000, 9.39
89, 191637888.0000, 1329309440.0000, 9.39
90, 191630784.0000, 1329290752.0000, 9.39
91, 191623808.0000, 1329272064.0000, 9.39
92, 191616864.0000, 1329252864.0000, 9.39
93, 191609856.0000, 1329233792.0000, 9.39
94, 191602880.0000, 1329215104.0000, 9.39
95, 191595760.0000, 1329196544.0000, 9.39
96, 191588848.0000, 1329177728.0000, 9.39
97, 191581840.0000, 1329158912.0000, 9.39
98, 191574896.0000, 1329140352.0000, 9.39
99, 191567952.0000, 1329121280.0000, 9.39
100, 191560880.0000, 1329102592.0000, 9.39
